Base Name,Base ID,Table Name,Table ID,Field Name,Field Type
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Tool / Service Name,singleLineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Vendor / Platform,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Billing Amount ($),currency
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Billing Frequency,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Next Billing Date,dateTime
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Assigned Card,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Department,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Category,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Auto-Renew?,checkbox
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Notes / Login Info,multilineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Monthly Spend (Calculated),formula
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,🛑 Incomplete Entry,formula
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,✅ SmartSpend Master Table,tbl185XqDi71n76II,Vendor,singleLineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🏢 Company Name,singleLineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🌐 Company Website,url
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🏭 Industry,singleLineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,👤 Main Contact Name,singleLineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,📧 Main Contact Email,email
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,📞 Main Contact Phone,phoneNumber
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,💬 Preferred Contact Method,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🧰 Current Tools Used,multilineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🔧 Tool Categories Needed,multipleSelects
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🔗 Smart Links,url
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🧾 Other Tool Categories (If Selected),multilineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,💸 Monthly Software Spend,number
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🕵️ Monitor All Tools?,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🔁 Billing Frequency,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🔐 Require Shared Logins?,singleSelect
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🧵 Slack/Comm Tool Used,singleLineText
YoBot® SmartSpend Tracker (Main).xlsx,appGtcRZU6QJngkQS,Dashboard Intake Submissions,tblWFJVCJIo4yRqVF,🧩 Department Breakdown,multilineText
